finished,age,gender,educ,employment,income,ideology_left,attention_check,democ1_squabble_pre,democ2_econ_bad_pre,democ3_no_order_pre,democ4_military_pre,democ5_better_pre,dem_estimate_pre,treat_share_high,dem_estimate_post,treat_turnout_high,democ1_squabble_post,democ2_econ_bad_post,democ3_no_order_post,democ4_military_post,democ5_better_post,behavioral,part_time_employ,full_time_employ,democ_post_all_missing,pre_democ_index,post_democ_index,male,zip_first_digit,non_white_share
1,73,Female,4,Retired,65000,3,8,NA,NA,NA,4,4,30,0,41,0,4,4,4,NA,NA,1,0,0,0,8,12,0,3,0.25603784546435393
1,53,Female,2,Permanently disabled,0,2,8,NA,NA,5,NA,5,38,1,40,0,5,5,NA,5,NA,0,0,0,0,10,15,0,4,0.09540229885057472
1,68,Female,6,Retired,21000,1,6,NA,5,2,NA,NA,45,1,50,1,2,NA,NA,5,4,0,0,0,0,7,11,0,7,0.2466950151566184
1,29,Female,2,Homemaker,35000,1,8,2,NA,NA,3,NA,38,0,72,0,NA,1,1,NA,2,NA,0,0,0,5,4,0,3,0.24453524004085803
1,57,Female,5,Permanently disabled,20000,2,8,NA,NA,NA,5,5,46,1,39,0,4,4,5,NA,NA,0,0,0,0,10,13,0,3,0.14754814915995085
1,56,Female,2,Full-time employed,28000,4,8,3,4,NA,NA,NA,34,1,75,0,NA,NA,5,5,5,0,0,1,0,7,15,0,5,0.02190178207046655
1,38,Female,6,Homemaker,30000,3,8,NA,3,4,NA,NA,50,1,50,1,2,NA,NA,2,3,0,0,0,0,7,7,0,1,0.1968364831552999
1,33,Female,5,Part-time employed,79000,5,8,2,NA,NA,NA,4,28,0,48,1,NA,3,4,4,NA,0,1,0,0,6,11,0,8,0.4638832089019925
1,56,Female,2,Permanently disabled,13000,4,8,NA,3,NA,3,NA,55,1,49,1,3,NA,3,NA,3,0,0,0,0,6,9,0,3,0.03594408697581541
1,63,Female,4,Permanently disabled,40000,2,8,2,NA,NA,3,NA,87,1,50,0,NA,1,2,NA,3,0,0,0,0,5,6,0,2,0.07184750733137835
1,50,Female,3,Homemaker,50000,2,8,NA,NA,4,5,NA,50,0,50,0,4,4,NA,NA,3,0,0,0,0,9,11,0,8,0.10131431482424856
1,53,Female,4,Permanently disabled,24000,3,8,NA,4,5,NA,NA,70,0,49,0,3,NA,NA,4,4,1,0,0,0,9,11,0,3,0.3971859637226649
1,24,Female,2,Unemployed,2,4,8,NA,NA,NA,3,3,11,0,32,1,3,3,3,NA,NA,1,0,0,0,6,9,0,9,0.13369502034489444
1,47,Female,3,Part-time employed,10000,4,8,3,NA,3,NA,NA,64,1,50,1,NA,3,NA,3,3,0,1,0,0,6,9,0,7,0.35552298008105543
1,68,Female,3,Retired,23000,3,8,3,3,NA,NA,NA,23,1,50,0,NA,NA,3,4,4,0,0,0,0,6,11,0,9,NA
1,53,Male,2,Full-time employed,15000,4,8,NA,NA,NA,5,4,57,0,45,0,4,4,4,NA,NA,0,0,1,0,9,12,1,5,0.07649488764538714
1,54,Male,4,Full-time employed,45000,2,8,NA,2,3,NA,NA,72,0,33,1,1,NA,NA,5,4,0,0,1,0,5,10,1,0,0.16597023077973505
1,61,Male,2,Retired,24750,2,8,1,NA,5,NA,NA,68,1,50,0,NA,5,NA,1,1,0,0,0,0,6,7,1,9,0.1987711458665815
1,48,Female,3,Full-time employed,30000,2,8,NA,3,NA,NA,5,75,1,50,0,4,NA,4,5,NA,0,0,1,0,8,13,0,3,0.1829368334700574
1,29,Male,3,Full-time employed,10500,1,8,1,NA,NA,3,NA,73,0,34,1,NA,3,1,NA,1,NA,0,1,0,4,5,1,4,0.2876096166251155
1,53,Female,4,Permanently disabled,60000,1,6,NA,NA,3,NA,3,64,0,49,0,3,3,NA,5,NA,0,0,0,0,6,11,0,4,0.07944884198182356
1,20,Female,2,Unemployed,20000,3,8,NA,3,NA,NA,3,36,0,44,0,4,NA,1,4,NA,0,0,0,0,6,9,0,9,0.35535521096285616
1,57,Female,3,Retired,24999,4,4,2,NA,NA,4,NA,69,1,47,0,NA,3,3,NA,4,1,0,0,0,6,10,0,2,0.05121470781352588
1,25,Female,5,Full-time employed,35000,7,8,3,2,NA,NA,NA,87,1,30,1,NA,NA,2,3,4,0,0,1,0,5,9,0,9,0.4048420876267069
1,48,Female,4,Full-time employed,61000,2,8,2,NA,2,NA,NA,49,1,50,0,NA,2,NA,4,4,0,0,1,0,4,10,0,3,0.3595526445872467
1,82,Female,3,Part-time employed,33000,2,8,NA,3,NA,4,NA,70,1,50,0,3,NA,3,NA,3,0,1,0,0,7,9,0,8,0.3872814732383243
